1,2,3,4,5,6,7,8,9,10,11
0,-320,-42,-425,-343,383,534,750,268,25,638
0,-139,-473,-213,-82,644,316,541,797,25,1009
0,-67,-253,-134,-420,566,389,543,314,25,628
0,-371,-110,-226,-67,671,680,444,284,15,416
0,-115,-60,-422,-70,688,646,456,517,15,722
0,-78,-260,-482,-337,325,721,114,299,11,548
0,-225,-311,-301,-144,270,393,503,575,11,945
0,-461,-371,-200,-108,1016,510,742,943,8,404
0,-403,-203,-431,-153,832,617,293,564,8,732
0,-298,-53,-417,-99,557,759,478,742,15,912
0,-379,-450,-446,-372,495,482,680,448,6,665
0,-210,-326,-198,-239,423,443,762,678,10,909
0,-174,-154,-282,-211,244,520,477,286,5,892
0,-54,-9,-204,-1,303,302,355,398,7,624
0,-283,-31,-89,-217,266,694,575,559,6,697
0,-334,-399,-91,-156,793,772,702,363,8,79
0,-222,-21,-259,-148,430,480,505,594,5,207
0,-70,-257,-313,-189,447,402,412,425,4,988
0,-215,-54,-406,-287,601,351,623,455,6,612
0,-422,-114,-269,-42,391,705,700,641,4,587
0,-103,-189,-446,-9,660,487,265,642,4,11
0,-209,-182,-2,-221,1056,635,271,239,5,169
0,-190,-85,-291,-421,183,575,194,752,4,106
0,-97,-443,-223,-317,301,278,282,243,5,897
0,-456,-204,-346,-367,774,251,357,603,3,823
0,-401,-183,-11,-470,274,567,128,125,3,980
0,-302,-34,-361,-99,721,347,293,92,4,861
0,22,-202,-225,-45,600,774,753,615,3,933
0,-386,-337,-357,-409,338,681,198,168,4,1017
0,-231,-457,-36,-266,563,452,563,647,3,188
0,-61,-231,-361,-322,494,459,645,584,3,1019
0,-390,-96,-132,-434,246,704,305,324,3,494
0,-104,-22,-124,18,675,761,525,801,3,929
0,-224,-384,-133,-464,584,435,235,178,2,778
0,-72,-51,-147,-353,619,481,590,554,3,650
0,-349,-140,-377,-74,577,686,376,459,2,157
0,-206,-52,-86,20,631,730,621,550,3,713
0,-188,-136,-58,26,399,501,246,369,2,119
0,-290,-173,-453,-280,557,754,227,697,2,793
0,-118,-153,-351,-424,278,520,749,534,2,811
0,-163,-289,-369,-285,755,842,739,326,2,577
0,-78,-179,-247,-148,513,495,127,284,2,521
0,-143,-55,-443,-83,261,373,65,683,2,310
0,-4,-228,-210,-324,506,646,100,195,2,440
0,-422,-190,-130,-60,462,415,402,427,2,956
0,-42,-273,-339,-429,425,881,420,255,2,560
0,-396,-432,-7,-160,700,651,245,437,2,604
0,-426,-164,-101,9,489,471,755,93,2,595
0,23,-132,-221,-112,736,334,509,294,2,156
0,-326,-105,-45,-10,748,472,97,170,2,476
0,-144,-274,-82,-382,396,613,280,561,2,746
0,-217,-451,-420,-46,514,690,466,480,2,668
0,12,-368,-379,-28,109,703,485,267,2,420
0,7,-179,36,11,918,243,485,292,1,1018
0,-372,-445,-134,-350,680,639,266,404,2,268
0,-68,-254,-275,-101,664,771,200,650,1,683
0,-56,-200,-401,-193,894,329,521,428,1,410
0,-181,-211,-115,43,706,579,208,287,2,714
0,-261,12,-166,-118,534,415,626,220,1,911
0,29,-162,-77,-4,524,259,360,359,1,117
0,-54,-416,-69,-80,217,658,131,557,1,761
0,-317,-291,-312,16,276,354,521,293,1,913
0,-136,-226,-405,-416,573,732,131,78,1,275
0,-407,-397,-290,-377,510,518,679,247,1,677
0,-140,25,-374,-181,598,347,95,284,1,202
0,-99,-263,-170,-117,398,746,300,81,1,791
0,-192,-373,-28,-239,316,498,175,216,1,859
0,-292,-427,-393,-24,437,267,644,98,1,24
0,-381,-433,-311,-136,776,622,657,328,1,206
0,-354,5,-86,-138,493,326,355,522,1,28
0,-169,-329,-377,-61,623,441,190,533,1,458
0,-120,-242,-319,-328,411,691,214,184,1,213
0,-417,-271,-334,-435,732,471,351,561,1,781
0,-114,-64,-311,-329,272,533,255,206,1,792
0,-120,-353,-315,-10,486,617,530,736,1,593
0,-138,-84,28,-202,767,577,541,521,1,535
0,-418,41,-71,-5,693,311,555,351,1,456
0,-27,-12,-427,-28,180,692,300,293,1,963
0,-381,22,-42,-317,554,777,173,407,1,847
0,-259,-24,-246,-253,391,671,689,367,1,555
0,-2,-117,-336,-365,510,688,451,321,1,302
0,-272,-49,-168,-88,473,612,197,619,1,870
0,-424,-271,-372,24,321,365,265,458,1,393
0,-285,-206,-378,-76,593,493,314,252,1,956
0,30,-138,46,-443,748,314,752,553,1,69
0,-203,-370,-317,-265,387,601,600,565,1,1018
0,-409,-219,-327,-200,523,504,208,626,1,361
0,31,-128,34,-306,626,577,593,220,1,152
0,40,-201,-131,-115,838,645,254,570,1,903
0,-288,-194,-84,-357,367,351,627,741,1,580
0,23,-42,75,5,564,307,546,168,1,982
0,-274,25,-96,-402,548,660,234,471,1,642
0,-201,-74,-352,-283,583,328,387,254,1,769
0,-96,31,-18,-392,480,913,419,571,1,878
0,-209,41,-291,-153,521,470,364,110,1,532
0,-204,-206,3,-369,752,456,635,392,1,630
0,-305,-291,-311,-155,487,328,430,375,1,700
0,-271,-279,-242,-413,497,515,165,835,1,702
0,-4,-308,-171,-40,586,337,216,569,1,739
0,-167,-302,-149,20,295,466,557,769,1,578
0,-308,-321,-316,-267,746,260,360,255,1,13
0,-180,-28,-176,-130,585,270,345,440,1,906
0,-396,-178,-71,33,252,620,412,174,1,837
0,-221,-345,-236,24,654,771,83,558,1,830
0,-352,-327,-334,-317,240,496,414,313,1,518
0,-236,17,20,-182,586,327,632,583,1,989
0,-125,-71,57,-230,629,578,437,664,1,643
0,-127,-136,-278,-264,221,382,258,533,1,546
