1,2,3,4,5,6,7,8,9,10,11
22,505,897,799,147,151,816,685,933,173,811
696,98,355,241,141,80,264,217,945,733,344
61,79,840,299,89,876,658,95,551,964,536
887,182,580,377,66,381,984,775,634,439,656
885,929,622,882,856,829,599,305,781,31,396
809,733,1,656,154,679,995,394,913,820,74
887,917,775,220,48,603,898,286,995,486,8
487,197,915,704,497,155,44,40,133,810,422
30,967,191,777,295,808,741,156,415,692,281
305,649,747,657,537,315,438,693,906,250,853
911,554,619,165,524,516,129,911,329,304,948
953,153,743,38,83,644,879,503,226,328,499
598,653,153,577,643,615,875,757,977,310,298
785,253,335,364,794,1,343,110,599,846,487
851,60,557,360,131,974,445,614,98,183,218
883,99,7,515,643,465,883,825,608,410,969
64,693,127,378,49,832,215,504,432,137,151
448,423,828,449,718,358,676,437,356,396,662
591,884,481,703,950,968,535,848,260,225,883
88,78,564,385,14,371,405,893,626,120,374
606,13,53,846,179,382,905,957,694,509,411
387,403,35,836,490,852,940,443,585,579,735
523,51,258,524,227,123,342,72,296,509,330
856,189,267,576,353,541,223,806,312,593,740
304,349,567,127,768,263,191,780,233,591,93
129,302,615,481,696,124,474,691,280,58,254
114,544,878,360,541,714,869,344,176,774,33
815,105,466,37,244,490,336,896,276,110,38
188,160,917,947,220,628,729,107,53,270,142
71,193,547,527,81,721,259,924,177,666,284
274,224,745,849,733,883,346,109,720,445,460
783,765,945,221,92,701,290,174,576,745,910
249,727,236,931,825,133,881,910,410,472,109
678,467,192,830,934,94,303,86,58,841,829
646,452,844,263,182,854,116,104,874,186,303
173,50,466,113,767,998,213,33,295,749,381
972,266,931,522,504,615,142,10,718,941,779
105,635,13,696,464,349,475,865,0,578,191
96,738,132,300,314,156,679,406,304,885,388
561,79,509,817,527,896,117,383,469,24,777
457,47,376,833,21,689,98,572,922,336,240
535,557,268,532,778,279,117,367,223,266,37
252,63,709,589,893,422,421,619,679,314,509
169,245,183,358,246,940,286,999,436,572,0
626,944,716,553,9,585,44,945,123,863,748
676,163,866,390,490,385,446,214,788,471,400
